#,Как вас зовут?,Ваш юзернейм в Telegram,"Насколько вы удовлетворены, насколько участие в интенсиве решило ваши задачи? Где 10 — 100% удовлетворил, 0 — всё очень плохо.",Готовы ли вы оставить отзыв для сайта?,В чём ценность участия в интенсиве?,"Что нам стоит доработать, чтобы интенсив стал ещё ценнее?",Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags,Ending
hw4pqfuq33wm5za5dpkhw4pa6ukerjr5,Андрей,'@andreytlkchv,10,0,"Приобретенные навыки и логика при работе с ИИ, которая помогает мне самостоятельно создавать новые скиллы и агентов для создания своих цифровых продуктов","бОльшая интеграция с основным курсом об AJTBD. Курс Boost закрывает техническую составляющую создания цифрового решения. Для меня продукт -  это Product-Market-Fit, определение целевых сегментов и прочее, что является частью другого продукта. Возможно, отдельный тарифный план для изучения основ методологии или скидка для студентов Boost на основной курс AJTBD. Как результат - студенты получают взгляд 360 на создание продукта от поиска идеи и валидации через интервью и исследования до создания и тестирования MVP с переходом в полноценный продукт",completed,2026-03-28 13:28:19,,2026-03-28 13:36:10,dfc5bfc1d8,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
keepe700n446dmkeepe7m1zsg89364ea,Виктор,'@dear_victor,7,0,"Про ценность я сказал в предыдущией сесси. Хотел бы добавить пожелания, но вы о них не спросили и закончили опрос )

Так вот, как человек, вошедший в вашу орбиту, в вашу экосистему, и уже  испытывающий к ней некоторую лояльность, я готов платить дальше за это:

Первое, я бы сходу купил интенсив о том, как настраивать рабочее окружение. О том, как это реально работает, в чем суть промтов, скиллов и агентов. В общем, такое чуть более глубокое погружение в техническую составляющую. Мне кажется, это важно для меня. Чтобы не просто механически повторять то, что вы показали, а понимать, что происходит. И дальше фантазировать на эту тему и как-то развивать свои скиллы.

Второе — это, возможно, некая подписка, ретейнер, или как угодно это назовите, на саппорт. Я бы хотел иметь в доступе какого-то человека, которому можно написать и в течение  понятного времени получить фидбэк по моим проблемам: что я делаю не так, что здесь можно поправить. Понятно, что во многом это решается за счет собственно вопросов к самой нейросети, но ощущение, что разговор с живым человеком или его поддержка все-таки имеет ценность. В общем, я бы за это платил. И третье — это подписка на канал или медиа, который решает такую задачу:

Все нужное мы сами прочитали, отфильтровали шум, и если ты продакт, то просто читай наш канал, у тебя будет понимание, что происходит и что тебе дальше нужно осваивать и использовать для твоей работы.","какая-то проблема с тайпформой. оказывается, есть вопрос о том что доработать. но в первый раз почему-то опрос завершился после вопроса о ценности",completed,2026-03-20 12:26:28,,2026-03-20 12:42:52,69eac6ae0e,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
v68fjkiium4nu5po5tpitv68fjk3szdf,Виктор,'@dear_victor,7,0,"Основная ценность — попробовать руками сделать что-то, что сработает. Т.е. закрепить в голове опыт ""я тоже могу"". Плюс получить общее представление о возможностях","В моем случае основная проблема заключается в некотором разрыве между ожиданиями и результатом.

Ожидание было таким, что меня сейчас научат с этим работать. Результат таков, что мне показали, как это работает, но по факту без понимания того, что реально происходит.

Просто механическое копирование промтов и нажатие на кнопочку ""получить"" вызывает некое ощущение, что ты все-таки не до конца разобрался и не допонял суть.

Это ощущение усиливается на фоне того, что кто-то выкладывает какие-то классные результаты, и ты думаешь: ""Блин, вот у всех получилось, а я торможу."" Я думаю, эта проблема решается на уровне коммуникации.

Возможно, где-то стоит как-то немножко по-другому переформулировать на этапе описания курса.

Всё-таки действительно его суть не в том, что он учит, а в том, что он показывает.

А учиться потом нужно делать всё это самому.",completed,2026-03-20 12:17:07,,2026-03-20 12:25:49,69eac6ae0e,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
hcqjj4qcxlzglgpzcihcqjjqzsrr3ynm,Екатерина,'@rakhubinskaya,8,1,"Моя основная цель была - разобраться в новых возможностях AI. У меня было ощущение, что поезд ушел, а я стою на перроне. Не понятно было как подступиться. Я использовала AI и в жизни и в работе, но на совсем базовом уровне. Интенсив дал базу и общее понимание того, куда копать дальше. Отдельное спасибо за продуктовые промпты.","На мой взгляд, он сейчас не совсем подходит для новичков. Очень много технической части, а инструкции не совсем подробные, иногда чувствовала себя тупенькой. А это очень дурацкое чувство у взрослого на программе, за которую он заплатил деньги. Возможно, проблему поможет решить что-то типа глоссария на старте с объяснением базовых понятий и более понятным прописанным алгоритмом технических действия, особенно на старте. Не все задания были понятны для чего мы это делаем, т.е. не хватало общего понимания: какую именно практическую задачу мы сейчас решаем? Также были задания заточены на ""технарей"", это круто, но опять же как будто не для новичков. Решение: добавить еще один уровень заданий, с более широкими и понятными для бОльшей аудитории примерами. (типа 1. база, 2. для тех, кто уже что понимает во всем этом). Отдельная благодарность кураторам, классный опыт, когда можно повзаимодействовать с разными кураторами в рамках воркшков и поспрашивать личные фишечки. Еще было бы здорово добавить базу (типа гайда) того, какие штуки можно делать с помощью AI. Можно собрать ее на основе опыта кураторов и учеников, прошедших обучение. Орг.информация тоже давалась немного хаотично и бывали случаи, что только по запросу учеников. Это если чуть подушнить :) Вообще, я рук. отдела образования, более 5 лет занимаюсь сопровождением учеников на различных программах (психология, бизнес, продюсирование, швейка). Буду рада провзаимодействовать с вами, если мой опыт и обратная связь будут вам полезна.",completed,2026-03-17 18:16:47,,2026-03-17 18:36:12,62603a993b,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
9wrmdgtc5cour00dvt9wrmdg0znoeidv,Соня,sonyabelotsky,6,1,"для меня открылся новый мир быстрого решения задач с помощью вайбкодинга, я получила базовое понимание, что это и как с этим жить","есть ощущение некоторой сыроватости подачи материала, есть ошибки в заданиях, не учтены все моменты, когда у учеников может что-то пойти не так. поэтому на устранение проблем может уйти все время урока, и в итоге остается ощущение, что ты пропустил что-то важное. хотя на деле урок можно пройти и самостоятельно. возможно стоит больше уделить внимание установке и отладке всех нужных компонентов перед началом всех занятий. 
опять же гайд по установке ПО перед стартом занятий не соответствовал тому, что нужно было в итоге установить, это стало понятно в ходе второго занятия. есть некоторая путаница в документах, нет общего какого-то понимания, где что искать.
на предпоследнем занятии mcp перед уроком надо было установить через терминал, а на деле его использовали через vs code. такие вещи сбивают столку людей, которые совсем не разбираются в  IT",completed,2026-03-16 16:59:39,,2026-03-16 17:05:49,01948dcca6,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
rs29tqrs258j4l5sfnrs29teqqaff0yw,Сушкевич Павел,'@PSushkevich,10,1,"1. Отличное погружение как для тех кто ""знает про ии и использует только как чат"", так и для тех кто что-то уже имеет и нуждается в новых взглядах и идеях.
2. Ценность: обретение понимания процесса разработки и запуска продукта (с технической точки зрения), понимания реально возможной скорости запуска, автоматизация некоторых процессов и рутины","1. возможно, еще больше уделить внимания обеспечению безопасности кода и тд - это уже есть, но может быть ценным.
2. много где ужесточаются правила в части перс данных (gdpr и тп) - возможно, стоит добавить в dev-team агента который бы  формировал необходимый набор доков/практик, которые бы подтачивались под требования конкретной страны в части перс данных",completed,2026-03-16 06:24:47,,2026-03-18 07:19:49,0039bc9bb2,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
pyskbyeew3y50mgz1jl8pyskbyavge18,Екатерина,'@ost_kt,7,1,"Я вроде бы дружу с it миром (я продакт в крупной IT компании), но вот эти все сложности с установкой и первоначальным погружениям - где у тебя интерфейс с миллионом разделов/кнопок и ты вроде делаешь по инструкции а потом ничего не получается - очень отталкивает. Поэтому мне нужно было чтобы меня прямо за ручку провели, и показали как начать и какие-то супер базовые штуки, а потом я бы сама уже пошла разбираться","1) дайте какую-то базу в начале - какие бывают агенты, что умеют, в какой из задач что использовать. Что еще можно делать (что не затронем в рамках интенсива). Не хватило какой-то теории - про скилов и субагентов до сих пор не въехала. 
2) Меньше бездумного копирования промтов - в голове очень мало остается когда просто копируешь и вставляешь, и не понимаешь по какому принципу запрос строится именно так. Хочется самой потыкать, первый раз сделать с подсказкой, а второй самостоятельно, да хотя бы запрос и  ответ прочитать - а получается все время бежим. Короче чтобы потом повторить какой-то промт придется посидеть и еще раз повъезжать.
3) очень часто от кураторов/лекторов слышала слова - не знаю, это вам не нужно, ну я этим не пользуюсь хз, и тд - кажется не целевое состояние от эксперт такое слышать",completed,2026-03-15 21:23:10,,2026-03-15 21:31:41,ea20baf518,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
il1hbte4iz062s7il1hnoil302mvg2rc,Ольга Бочарова,'@onbocharova,10,1,,"Все понравилось, все огонь!",completed,2026-03-15 18:17:33,,2026-03-15 18:18:27,b6c1d1e96f,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
tmkgt0061efi2xizltmkgn7k0alsg26e,Илья Круглый,'@ilyaround,7,1,"Все объяснили как настроить, базовые принципы и тулы","Когда лекции проводит не Ваня, то лекции становятся менее структурные, очень долго можем сидеть на обратной связи, нет четкого понимания как именно этим можно работать",completed,2026-03-15 16:08:06,,2026-03-15 16:12:02,3f106bdca2,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
bsztv93godzax56i762ybrbsztv9bxwv,Рита,margarita_free,7,0,"ценность во многом - продуктовая больше. То есть, mvp для теста продактом - отлично подходит под цель интенсива","объяснять какие то вещи так, чтобы потом они были применимы самостоятельно, единоручно. Этого не получилось, как мне показалось. Например, так и не ясно, как самостоятельно загрузить код клода на сайт (с привязкой к домену). Если нужны доп материалы или другая учеба - можно приложить ссылки. Еще ньюанс - там прям сидели в комнатах люди, которые задавали вопросы кураторам постоянно, и не было возможности задать свой вопрос. Приходилось выходить, иначе подолгу слушать общение человека с куратором.",completed,2026-03-15 14:20:23,,2026-03-15 14:25:49,65ffa02357,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
6k1z6zgqhq1av26k1jqwqhl15ixx6w7o,Александр Гула,'@GulaAlex,8,1,"Всего за неделю проходишь путь, как если бы обучался, наверное, полгода. И это не даёт тебе практического навыка, что ты так вот завтра встал и в лёгкости начал работать, если бы ты уже полгода набивал себе руку. Но это даёт тебе возможность следующие полгода иметь внимание на то, что ты уже можешь сделать с помощью других инструкций, с помощью чужих прантов, с помощью других скиллов. Но ты уже можешь это делать достаточно на серьёзном и высоком уровне, и за следующие полгода ты вместо того, что будешь обучаться от нуля до текущего уровня, будешь уже создавать веб-приложения, кодить, делать телеграм-чаты и деплоить свои проекты и какие-то новые идеи будут приходить, новые проекты будешь производить. То есть резко ускоряется время. Вроде бы прошла неделя, а вложено так много, что аж не верится, что так могло произойти. В принципе, за этот короткий промежуток времени показал огромные границы и перспективы того куда можно двигаться. Конечно было сложно. То есть для человека который ноль в полной технической части для меня было ну реально трудно мозги закипали и это прям на такой грани постоянной. Прям приходилось напрягаться чтобы разбираться в том что дают. С этой точки зрения конечно было тяжело и не скажу что все что там изучили оно легло в руки как в навыки. Об этом я уже говорил. Но это дает возможность расширить видение, перспективу и дальше лишь моя задача использовать эти навыки и углублять знания в тех контекстах которые нам дали .","Я не знаю насчет того чтобы доработать именно как интенсив. Наверное бы входную планку бы поставил какую-то, что люди которые приходят совсем с нулем им действительно рвет мозг. И наверное было бы хорошо понимать что смогу я туда зайти или не смогу. Вот. Что бы может быть добавить? Может быть это интенсив есть? Может у вас обычно еще есть обучение веб-кодингу? Пусть будет это не за неделю а за три месяца и пусть это не так быстро но пусть это будет все то же самое но с проверкой задания с обратной связью с какими-то навыками, инструментами. Наверное я бы наверное бы записался на такой трехмесячный курс. Ну вернее так сегодня бы я наверное и не записался но вот выбирая между интенсивом и вот таким спокойном режиме ну может не 3 а 2 месяца наверное достаточно будет те же шесть занятий там больше домашних заданий чтобы их проверяли большая обратная связь тут просто там выпучив глаза мчались как со шпаренной задниц ну в общем то где-то успевал где-то не успел еще можно сказать хорошо что я за пару недель до этого как-то начал в эту сторону как-то смотреть но не пару недель хорошо недели три я уже даже что-то кодил до этого что-то пытался делать ну и то но и то было прям сложно и до сих пор она как будто стоит фоном что я ничего не узнал кроме того что я как будто имею инструкции в которые могут заглянуть и возможно это мне поможет сделать что то еще мне есть такая надежда я планирую на следующей неделе к эту надежду как-то попытаться исполнить иначе вообще могу потерять все эти знание знания на нет навыков и не было все эти попытки научиться в коде ну конечно было очень круто то что сразу соединили vs с клауд кодом и это это очень крутая история здесь большой прогресс но и все вот эти про мтс киллы все это очень круто но вот осознать прям времени не было не хватало и вот просто купит от контра с control f работы до получилось да поехали дальше да и что там внутри написано какие там команды какие агенты киски лы все это очень грубо говоря навалили так что блин ну попытайся развалить все это разобрать и и впитать но как будто бы есть ощущение что сам по себе курс но очень крутой и структурированный системный другое дело что может быть не совсем был готов к такой интенсивности но я в целом сама остался доволен",completed,2026-03-15 14:05:26,,2026-03-15 14:17:06,59fe548fd2,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
3urndy3iotj0slv6a33urnd6xt0fdqqg,Евгений,'@sure_mel,10,1,"Мотивация разобраться в том как это работает и в том, что ты понимаешь, что все возможно (ну или почти всë)",Вроде все ок,completed,2026-03-15 13:59:36,,2026-03-15 14:05:01,8a7b2de4cf,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
go5jmevd2onylpri3kgo5jmfmxml3nfp,Владимир Бутов,'@iyeti,9,1,"Новый способ мышления
Конкретные рабочие инструменты для прикладных задач",Домашки с практикой по теории из интенсивов. Проверка домашек ~90% ИИ + 10% куратор,completed,2026-03-15 13:53:51,,2026-03-15 14:11:31,70b3a59845,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
dpxmxglj1vkbvtayxrdpxmpae4r1u13c,Александр,'@aminaev_official,10,1,"Просто делай - делай просто (есть даже книжка такая). Вы начнете делать, вы начнете получать результат, вы начнете менять свои базовые задачи и ход мыслей за счет новых возможностей","пояснения к генерации самих промтов, как структурировать базу знаний",completed,2026-03-15 13:53:03,,2026-03-15 13:54:43,8ebb645d19,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
zuunfqr6v3o75vkzuunfquhho1zcythb,Андрей Копыток,'@andreykopytok,10,1,"Расширяет возможности реализации своих мечт, целей, задач, проектов, да и в целом жизни",Презентации направлять участникам для индивидуальной проработки и переваривания материала,completed,2026-03-15 13:52:00,,2026-03-15 13:54:02,9871d54bf0,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
